Famille d'origine;Planet;People;Prosperity;RECOMMANDATION;CRITERES;JUSTIFICATIONS;Etape Cycle de Vie;incontournables;Indicateurs;X;Y;Priorite;Recurrence;Use Case
STRATEGIE;A;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les reunions sont-elles limitees au strict minimum, en privilegiant le distanciel, lorsque les reunions necessitent des deplacements physiques ?;Les trajets sont sources d'emissions de Gaz e Effet de Serre (GES) et ont un impact sur l'organisation personnelle des collaborateurs.;N/A;;(X / Y ) * 100;Meeting Distance;Meeting total;High;Once;La fiche de cadrage projet defini les reunions et les distances de deplacements de tous les participants
STRATEGIE;A;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Le teletravail est-il autorise, sans limites, aux collaborateurs qui le souhaitent et dont l'activite le permet ?;Outre la limitation des transports quotidiens et leurs impacts environnementaux, les temps perdus lors des trajets peuvent etre considerables. Les outils et l'organisation doivent permettre en revanche de lutter contre la rupture de lien social qui peut s'installer avec le teletravail.;N/A;;(X / Y ) * 100;Propositions de teletravail;Postes elligibles;Medium;Once;La strategie RH precise les conditions et modalites du teletravail
STRATEGIE;B;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;L'entreprise est-elle ouverte e une demarche NR qui pourrait federer les energies autour d'un projet novateur ?;Pour etre efficace, la demarche NR doit etre presente dans la strategie de l'organisation et associer l'ensemble des processus de decision dans l'objectif de reduire les impacts des services numeriques.;N/A;;;;;;;
STRATEGIE;B;B;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Est-ce que les strategies RSE et NR sont associees et systematiquement mises en oeuvre dans tous les projets ?;Le traitement NR est une demarche systemique si la strategie NR est prise en compte dans tous les projets. Comme c'est le plus souvent le cas pour la RSE le gain est beaucoup plus significatif que lorsque les elements NR sont traites ponctuellement;Conception;;;;;;;
STRATEGIE;B;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Comment faire du NR plus qu'un objectif de communication ? Est-ce que des resultats concrets sont associes e la demarche NR ? (pas de Greenwashing);Les energies et budgets depenses pour les aspects purement communication (greenwashing) peuvent etre consequents pour aucun resultat tangible. Avec les memes investissements il est tout e fait possible d'obtenir des resultats significatifs sur lesquels la communication sera de plus, plus efficace.;Realisation;;(X / Y ) * 100;"Oui = 100 ; Partiel = 50 ; Non = 0";100;Medium;Once;Strategie RSE / NR - schema directeur
STRATEGIE;A;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Le besoin metier est-il exprime ?;Les incertitudes poussent e extrapoler les besoins souvent au dele des attentes reelles ce qui est nuisible pour les impacts environnementaux;Conception;INCONTOURNABLE;(X / Y ) * 100;"Expression redigee et validee = 100 ; Expression formalisee = 75 ; Tacite = 30 ; Non = 0";100;High;OnUpdate;La documentation de collecte et expression des besoins est formalisee, validee et partagee
STRATEGIE;B;A;B;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;La cible des utilisateurs (principale et secondaire) est-elle definie, pour preciser le besoin metier ?;Pour repondre justement (ni trop, ni trop peu) aux attentes utilisateurs, il est indispensable de connaetre les cibles et leurs comportements., afin de ne pas surcharger les applicatifs, ni les appauvrir au point qu'ils ne repondent plus aux attentes legitimes. Les utilisateurs secondaires ont des besoins souvent plus simples. Sans l'identification de cette categorie d'utilisateur, il est difficile de dimensionner correctement le service.;Conception;;;;;High;OnUpdate;Fiche de cadrage projet
STRATEGIE;B;C;C;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Les materiels utilisateurs sont-ils identifies ?;Certaines utilisations peuvent etre contraintes par les equipements des utilisateurs, pour permettre un choix plus large d'equipements meme anciens et limiter les renouvellements de materiels. Il est important de connaetre les profils de materiel que les utilisateurs vont pouvoir employer, aujourd'hui et demain.;Conception;;;;;High;OnUpdate;Dossier Technique
STRATEGIE;A;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Leensemble des produits et services sont-ils indispensables en ligne ?e;Certaines fonctionnalites sont proposees en mode connecte alors qu'aucune donnee distante ou aucun processus de calcul lourd n'est requis, dans ces cas une solution locale (hors ligne) est efficace d'un point de vue environnemental avec moins de circulation d'information et moins d'utilisation des reseaux. En revanche, si le mode hors ligne necessite des duplications d'informations, il ne se justifie que si les acces reseaux sont intermittents et posent des difficultes d'utilisation du service.;Conception;;(X / Y ) * 100;"Abordee = 100 ; Partielle = 50 ; Non traitee = 0";100;Medium;Once;La fiche de cadrage projet precise les produits et services associes et leurs modes d'operation (en ligne, en personne, ...)
STRATEGIE;A;B;A;Definir et valider les besoins et les enjeux du projet afin d'anticiper les impacts;Est ce que je peux proposer de couvrir les besoins autrement, en evitant le digital avec un moyen plus respectueux de leenvironnement ?e;Certains processus manuels simples peuvent etre une alternative au tout numerique, meme au sein d'un service numerique. Dans le cadre d'un service numerique la tendance naturelle est d'y integrer toutes les etapes sans se poser la question de l'efficacite environnementale.;Conception;;(X / Y ) * 100;Questions formalisees;Besoins clients;Medium;Once;La fiche de cadrage projet precise pour chaque besoin une evaluation d'impact
