Original family;Planet;People;Prosperity;RECOMMENDATION;Criteria;Justifications;Stage life cycle;inescapable;Indicators;X;Y;Priority;Recurrence;USE CASE;ID
STRATEGY;;;;Define and validate the needs and issues of the project to anticipate impacts;;;;;;;;;;;STR-1
STRATEGY;A;A;B;Define and validate the needs and issues of the project to anticipate impacts;Are the meetings limited to the strict minimum, by privileging the distance, when the meetings need physical displacements?;Trips are sources of greenhouse gas emissions (GHGs) and have an impact on the personal organization of employees.;N / A;;(X / y) * 100;Meeting distance;Total Meeting;High;Ounce;The framing form defined the meetings and distances of displacements of all participants;STR-1.01
STRATEGY;A;A;B;Define and validate the needs and issues of the project to anticipate impacts;Is the televavail authorizes, without limits, to the collaborators who wish and whose activity allows it?;In addition to the limitation of daily transport and their environmental impacts, the times lost during journeys can be considerable. The tools and the organization must, on the other hand, to fight against the termination of social link that can settle with the televavail.;N / A;;(X / y) * 100;Television proposals;Elligible posts;Medium;Ounce;The HR strategy specifies the conditions and modalities of the television;STR-1.02
STRATEGY;B;A;B;Define and validate the needs and issues of the project to anticipate impacts;Is the company open to a NR approach that could federate energies around an innovative project?;To be effective, the NR approach must be presented in the organization's strategy and associate all the decision processes with the objective of reducing the impacts of digital services.;N / A;;;;;;;;STR-1.C01
STRATEGY;B;B;B;Define and validate the needs and issues of the project to anticipate impacts;Do the CSR and NR Strategies are associated and systematically implemented in all projects?;The treatment NR is a systemic approach if the NR strategy is taken into account in all projects. As is most often the case for the CSR gain is much more significant than when the elements Nr are dealing punctually;Design;;;;;;;;STR-1.C02
STRATEGY;B;A;B;Define and validate the needs and issues of the project to anticipate impacts;How to make NR more than a communication goal? Are concrete results associated with the NR approach? (No Greenwashing);Energies and budgets Expenditures for purely communication aspects (Greenwashing) can be consequential for any tangible result. With the same investments it is all possible to obtain significant results on which communication will be more efficient.;Production;;(X / y) * 100;"YES = 100; Partial = 50; No = 0";100;Medium;Ounce;CSR / NR Strategy - Director Schema;STR-1.03
STRATEGY;A;B;A;Define and validate the needs and issues of the project to anticipate impacts;Is the job need expresses?;Uncertainties grow e extrapolate the needs often beyond real expectations which is harmful for environmental impacts;Design;UNAVOIDABLE;(X / y) * 100;"Redigee and validated expression = 100; Expression formalized = 75; Tacit = 30; No = 0";100;High;Onupdate;The collection and expression documentation is formalized, validated and shared;STR-1.04
STRATEGY;B;A;B;Define and validate the needs and issues of the project to anticipate impacts;Is the target of the (main and secondary) user defined, to specify the necessary need?;To answer precisely (neither too little nor too little) to the users' expectations, it is essential to know the targets and their behaviors., In order not to overload the applications or impoverish them to the point that they no longer respond to the legitimate expectations. Secondary users have often simpler needs. Without the identification of this user category, it is difficult to properly dimension the service.;Design;;;;;High;Onupdate;Project framing sheet;STR-1.05
STRATEGY;B;C;C;Define and validate the needs and issues of the project to anticipate impacts;Are user materials identified?;Some uses can be constrained by user equipment, to enable a wider choice of even old equipment and limit the renewals of materials. It is important to know the material profiles that users will be able to use today and tomorrow.;Design;;;;;High;Onupdate;Technical file;STR-1.06
STRATEGY;A;B;A;Define and validate the needs and issues of the project to anticipate impacts;The whole of products and services are they essential online?;Some features are proposed in connecting mode while no remote data or heavy computing process is required, in these cases a local (offline) solution is effective from an environmental point of view with less information circulation. and less use of networks. On the other hand, if the offline mode requires duplication of information, it is only justified if networks are intermittent and have difficulty using the service.;Design;;(X / y) * 100;"Abordee = 100; Partial = 50; Not treated = 0";100;Medium;Ounce;The project framing sheet specifies the associated products and services and their modes of operation (online, in person, ...);STR-1.07
